reviewTitle,reviewBody,final_sentiment,cluster,aspects
Proven in a 24hr adventure race,I wore these for a 24hr adventure race and was pleased. I was worried my backside would get overly sore with 90+ miles of biking but faired no worse than I’d expect to in fully padded bike shorts. They held up well over 30+ miles of trekking in that race with no chaffing or discomfort. I did wear UA boxer briefs underneath as I could feel the seam of the pad against my skin without them and didn’t want to risk irritation over that distance.,positive,0,"['was', 'was', 'get', 'get', 'faired', '30', 'chaffing', 'want', 'risk']"
Great,Great! It works.,positive,0,"['Great', 'works']"
Do not buy,Already fading to white.,positive,0,[]
not as pictured,"I ordered this because the picture shows a splash guard with a cut out at the narrow end to hold the down spout.  The one that arrived did not have this feature and so, is of no use to me. Will be returning.",positive,0,[]
Just buy it,Just what i needed. Fast shipping.,positive,0,['shipping']
Good Product,It is very easy to use and clean So far the food has been good,negative,1,"['is', 'use', 'been']"
Fantastic,"Excellent quality. Easily on-par with much more expensive straps, and in some cases much better. This is my second W&W strap and it won’t be my last.",neutral,2,"['quality', 'straps', 'better']"
Get a grip. literally,"Fits my huge hands well. a little awkward to clip on (you gotta thread the wrist strap through a hole in the bottom, and must be taken off to replace the batteries, but once they're on, they aren't moving.",neutral,2,"['Fits', 'strap']"
Easy to use.,It’s very handy. Light and easy to use.,positive,0,"['’s', 'Light']"
comfortable,works great,positive,0,"['works', 'works']"
"Great value, durable product","Bought for the overall value since a toddler bucket seat is on average $40-$50... and I'm very satisfied. The bucket seat is great quality, and now I have a spare swing, and my 6 year old loves the wheel spinning thing..",positive,0,"[""'m"", 'quality', 'have']"
Love this Washi Tape & I will buy again,I love this Washi tape. I use it around the borders of my Diamond Paintings. It holds up very well. The colors are beautiful. I will be buying again.,positive,0,"['love', 'holds', 'are']"
"Worth the buy, but......",I wished it would have had a plastic covering to protect the photo I inserted.  Other than that it’s pretty nice.,positive,0,"['had', 'nice', '’s']"
Perfectly bright!,Perfect gift for my teenage daughter who practices applying makeup.,positive,0,['Perfect']
I will be buying the black purse I love this,"I love the quality of this purse, and yes, I will buy the black one as well. It’s very sophisticated, it looks expensive it’s lightweight and very classy",positive,0,"['love', 'buy', '’s', 'looks', 'lightweight']"
Easy to use,"Good product, fast shipping,easy to use",positive,0,"['product', 'shipping', 'product']"
YAY!,I so appreciate taking 1/4  of a teaspoon of  Natural Vitality Calm #1 Selling Magnesium Citrate PLUS Calcium three times a day along with 1/4 of a teaspoon of Bragg's Apple Cider Vinegar. I highly recommend it to my loved ones. *Much Love* MV,positive,0,"['appreciate', 'of', 'recommend', 'ones', 'MV']"
Best ever,Smells so good amd hair is shiny�,positive,0,"['Smells', 'hair', '�']"
Still wondering where the bracelet is...,"I never received my free gift or the bracelet that was supposedly part of the package and what originally drew me to purchase this item out of the gate. The ring itself is of good quality and is comfortable to wear. I just wish for the money spent that the bracelet advertised with the item would have actually been included, because that was the deciding factor for me to purchase this item over others I had seen.",positive,0,"['gift', 'quality', 'is']"
Lights Don’t Last,"Easy to install, but adhesion ruins wall upon removal. Lights don’t last long with brand new batteries.",positive,0,"['Easy', 'Easy']"
As advertised,"Simple, clean design, no defects. Easy to install.",positive,0,"['design', 'design', 'Easy']"
Think I got a defect,"Had a pair before, great headphones and very comfortable.  What else can you say about AirPods.",positive,0,"['headphones', 'headphones']"
Great value,Works great for the price! It was a little bulky but not heavy. Good for camping.,positive,0,"['Works', 'Works', 'was', 'Good']"
Is good to buy it,I really do like and it worki really good,positive,0,"['do', 'worki']"
Nice deal,"Mats work nice using for dead lifts, protects floor from damage",positive,0,"['work', 'work', 'lifts', 'work', 'from']"
Dead in 2 months,Seemed to work pretty good but I’ve had this for about two months and only used it to sharpen my kitchen knives and it’s already dead. Unit seemed to run rather hot tbh. Went to sharpen my knife set and I got through two before a strong smell of melting plastic paired with extreme heat caused the unit to fail.,positive,0,"['Seemed', 'good', 'work', 'sharpen', '’s', 'tbh', 'sharpen', 'smell', 'before', 'caused']"
Decent and works,Easy to install but thought it tilted left and right. Works perfectly for the bedroom.,positive,0,"['Easy', 'left', 'Works', 'for']"
Perfect attire for end of the day!,The best outfit for the end of the day..soft and comfy!,positive,0,"['outfit', 'outfit', 'soft']"
Great mascara for the price!,I'll definitely purchase this product again.  It stays on really well. The only issue I have is that it's not pretty to take off.  I look like I have 2 black eyes when I go to wash my face even when using an eye makeup remover prior to washing.  Other than that it's a great product!,negative,1,"['on', 'is', ""'s"", 'have', 'product']"
Very cute and hopefully we use it someday!,"It’s very compact and easy to clean. The design is super cute. However, my toddler refuses to sit on it, because she’s terrified of “the big potty.” I’m hoping in time we will use it more but I think it’s a great product for the price.",positive,0,"['’s', 'compact', 'easy', 'cute', 'is', 'refuses', 'product']"
Dad likes it.,"Bought this for my dad and he's happy with it. I was a little concerned, because it didn't expand most of the way when unwrapped but he said it did expand to fill the cover by the next day.",negative,1,"[""'s"", 'was']"
Stream from duck’s bill is tiny.,"The only aspect that was disappointing was the size of the stream from the ducks bill, tiny and beyond tiny. My cat loves to drink from the bottom of the fountain but not the stream. He likes to drink from the bathroom faucet so i thought he would on this. Maybe he can’t see the timy stream!",positive,0,"['was', 'loves', 'likes']"
Nice Quality,"Nice quality, effective and durable",positive,0,"['quality', 'quality', 'effective']"
Fall Pumpkin Sets!！,Very good value set. You get so much! So many different colored pumpkins. And the garland vine is very full and the leaves are very life-like. Would definitely recommend. Provided a photo when I was testing out the dining table.,positive,0,"['value', 'are', 'recommend']"
Cheap price Cheap audio.,"I have never had good thing to say about Beats audio equipment. I have always thought they were over priced and poor quality. These fall under that same category. Even with the provided different ear bud foam sizes, they don't stay in your ears. The sound quality is real bad, especially at higher volumes. The bass gets distorted.",positive,0,"['thing', 'priced', 'fall', 'is', 'distorted']"
Very good,I really like this. The audio is clear and crispy. Easy to set up. The only complaint is that the stand is sometimes annoying (it is hard to make it stand up without falling),positive,0,"['like', 'is', 'Easy', 'is', 'is', 'is', 'without']"
Easy on/off and durable,"I bought these to use when I help in the warehouse handling large, awkward boxed items. The grip is good and they seem to be wearing well. No holes or tears after a few weeks of daily use. I have blown through some other gloves in little more than a day. Overall I’m pleased with these.",positive,0,"['items', 'is', 'wearing', 'blown', '’m']"
!BUY IT!,"Price is unreal for this product! Fluffy and light weight. As soon as I got it, I threw it in the wash. This is usually the part where I can tell if it’ll be total crap because cheap ones will dry funky or clump up without ever getting fluffed up as once bought. This comforter was an easy wash and dried up great (especially since I had to re wash it after forgetting in the washer ????)! Looks and feels great! Was originally going to be a spare but it’s in my regular rotations now, when my kids aren’t trying to take it! I’m hoping they come out with more prints but if not, might just have to pick up another one.",neutral,2,"['is', 'be', 'ones', 'dry', 'wash', 'dried', 'feels']"
10/10 Hisoka,This is the best purchase I’ve ever made! He’s perfect for guarding your cat litter (and sleeping with). My cats may sometimes attack him but that’s their problem ????,positive,0,"['purchase', '’s', 'attack', '’s']"
Great product,Works great,positive,0,"['Works', 'Works']"
Top small bottom normal sizing,Very small in arms and shoulders,negative,1,[]
Love them,They arrived perfectly! Love them,positive,0,"['arrived', 'Love']"
Amazing little mop,I was SHOCKED when I was finished mopping for the first time using the Sandoo mop for my mop pad was filthy! My floors looked so much better amd they were dry within a matter of minutes,negative,1,"['was', 'was', 'amd']"
Excellent product,Very comfortable:) Doesn’t feel like an air mattress at all!,positive,0,"[':)', 'feel']"
�,Great sticker! Fit nicely on my hard hat...,positive,0,"['sticker', 'Fit', 'hat']"
The only trap that works,No mess. This really works.,positive,0,"['mess', 'works']"
"Good for everyday use, not great on airlines anymore","It was perfect, especially getting throughout the airlines at first. I could actually breathe with this one. But then the airlines have recently caught on and are not allowing people to board with these mesh style masks. Otherwise, I love them and and use them anywhere else people are still demanding masks.",positive,0,"['was', 'love']"
Very good chair,"great overall chair, very convenient arm rest and comfortable seating. 10/10",positive,0,"['chair', 'rest', 'seating']"
I WILL be buying more of these!,"I LOVE these pants! I’m 5’6” and 176lbs, with thicker legs and a smaller waist. I purchased an xl and they fit perfectly. They feel so good on and compliment all the right places.",positive,0,"['LOVE', 'fit', 'feel', 'feel', 'places']"
"Very quiet, nice design","Needed a new microwave  bought this one and right away I noticed how it doesn't make a lot of noise while operating and you can turn off the ""beeping when finished "" feature so you don't have to hear that either. It has a metal-like looking door which goes well with stainless steel appliances. It has a sensor pad built in that I have used to cook potatoes so it knows how long to cook them you can use it for other foods too. It comes with a great operating manual, actually 2 speperate ones -in English and one in Spanish. I'm still learning all the bells and whistles but I'm very pleased with my purchase.",positive,0,"['away', 'of', 'door', 'goes', 'steel', 'manual', ""'m""]"
Out of stock.,Great coloring and variations of size of boards. These boards are thicker then most which is what I was looking for. However...I gave a 3 because they are out of stock. I ordered about a month ago to see if I’d like it (actually ordered 3 different rolls) and decided I really liked this one. Went to reorder and it is “currently unavailable” in the brown. I’ve tried reaching out to see if it will become available in the newest future but no one has responded.,positive,0,"['coloring', '’d', 'decided', 'is', 'become']"
Love it,Love it,negative,1,['Love']
It's pretty cute. I like it,"Very delicate packaging, every day to open the door into the home on a light fragrance, the mood will become good, feel very good",positive,0,"['packaging', 'become', 'feel']"
Very stiff.,"I am sending this back. It's supposed to be tangle free but when I took it out of the package, this hair was extremely stiff. You could barely separate the pre separated pieces because the ends felt matted together. I am disappointed because I saw so many Youtube videos that said this hair was great to use. It's a hard pass for me.",negative,1,"['free', 'be', 'was', 'am', 'was', 'pass']"
Cute summer decor,Super cute and exactly as shown.,positive,0,"['cute', 'cute']"
Great diffuser,Easy to set up. Diffuses oil nicely - lightweight long cord if need to reach a plug,positive,0,"['Easy', 'lightweight']"
Love this product,Less hassle with all the chargers together. Charges fast and looks good too.,positive,0,"['hassle', 'fast', 'looks']"
Great maneuverability and easily removable tray,"Loved this chair from the first try! All what was important for me was there and I’m happy! Maneuverability is good on the carpet and kitchen tile. Tray can be removed with one hand and hidden behind the chair with one click! It was easy to clean small mess off of it, will see how it works with yogurt or tomato sauce eventually. Overall I’m very happy!",positive,0,"['Loved', 'was', '’m', 'is', 'was', 'was', 'clean', 'see', '’m']"
Super cute,It has a nice bit of stretch. Absolutely looks like you'd imagine.,positive,0,"['bit', 'imagine']"
A hit!,This was the talk of my husband's 40th!  Loved!,positive,0,['Loved']
simulates a rain shower.,"This is the best I have found over all the years I've been planting delicate flowers and vegetables.  Most other shower heads beat tender vegetation down, doing more damage than good.  Made to last of metal it has a comfortable coating for a better grip.",positive,0,"['is', 'flowers', 'vegetation', 'doing', 'than', 'coating', 'grip']"
Just what I needed...,"I just needed a simple trash can to place in front of our food truck. Although it didn't come with a lid or wheels we bought those separately. Is it pricey? Possibly but whatever, I'm satisfied.",positive,0,"['can', 'Is', ""'m""]"
Just what I needed,The heavy bottom is effective at precise temperature control during heating. The stainless steel is easy to clean and able to withstand scratching from power mixers,positive,0,"['is', 'control', 'steel', 'is', 'easy', 'withstand']"
Great and handy,Love how it works and how fast it came.  Super easy to use.,positive,0,"['Love', 'Love', 'came', 'Super', 'Super']"
Print quality and speed are excellent.,"Have trouble with multi pages on auto feed.  Only takes first page, then jams.",positive,0,"['Have', 'takes']"
Good straws for the price.,"The straws are quite easy to use, clean and maintain. Quality seems good so far. Daughter loves her rainbow one.",neutral,2,"['are', 'use', 'seems', 'loves']"
it works!,"easy to apply, no mess, no smell.  it's working!!",positive,0,"['easy', 'easy', 'mess', 'working']"
All the garden tools a girl needs,The set has all the item my daughter needed. I thought they are toys and did not expect the quality to be useable. But it came a surprise. Now my daughter would take her tools out to work with me in the garden every day.,positive,0,"['be', 'take']"
Excellent,Excellent,positive,0,['Excellent']
Nice product,"These socks are comfortable. Additionally, I do feel that there are benefits for health conditions  - my feet do not hurt as much as before. The one drawback is that the socks are fraying after just a few washes.",positive,0,"['are', 'are', 'feel', 'is']"
Cute sweater,Very cute little sweater. Good quality.,positive,0,"['sweater', 'quality']"
Todo lo demás bien,Él pega no sale muy bueno,positive,0,[]
Where’s the poster?,"I like Buffalo puzzles, particularly Aimee Stewart’s puzzles.  I’m surprised and disappointed that there was not a poster included. The listing said one would be included. I’ve noticed a few others have made the same comment.",positive,0,"['like', '’m', 'surprised']"
Stains on the ceiling,"The kids love them, but, beware the stains.",positive,0,"['love', 'love', 'beware']"
It doesn’t work the printer will not except it. Now I’m out the $,Waist of $ will not work,negative,1,['work']
Poor screen cover,Case is good but screen cover didn't last a day. Wouldn't read finger print and didn't adhear to screen. We could be nice if top plate held cover down.,positive,0,"['is', 'be', 'plate']"
Great Except for Tiny Slots in Bottom,I like this little caddy. Nice tough plastic. Would have been perfect except for the little slots in the bottom which I covered with plastic. Using it to store computer repair tools.,positive,0,"['like', 'plastic', 'plastic', 'been']"
Perfect,"To say I love this is an understatement.  Looks great, easy to install and fits great where I put it.",positive,0,"['say', 'Looks', 'Looks', 'fits']"
Looks correct broke easily,Was beautiful but broke within a couple of days. Might be because my wrists are large?,positive,0,"['Was', 'Was']"
"Large bag, but I question durability","The value for the money is good, I gave them 4 stars only because opening the bag is hard and it tears easily.",positive,0,"['is', 'is']"
Dog responds to cues,"So far so good , its been a few days and dog is responding well",positive,0,"['been', 'responding']"
Worked great!,Easy to use. Found the after spray inside packed inside of the warmer.,positive,0,"['Easy', 'of']"
the worst,the heat melted the finish and stained my cook top. i would give it a zero stars if i could,positive,0,"['melted', 'stained']"
"Good quality, fun, simple!",Very pretty! Very easy. Love how it was packaged. It came with 3 strands separated in individual packaging. The strands are nice and long. Good quality too. Love that I can use them multiple times.,positive,0,"['pretty', 'easy', 'Love', 'are', 'quality', 'Love']"
"Dried up paint, completely unusable",I cannot review the product as all the paint is dried up and completely unusable,positive,0,['review']
Great deal,"These gloves are exactly what i was looking for. Very comfortable to wear, good grip, really helped reduction of corns on my palms.",negative,1,"['helped', 'grip']"
*For ATH-M50X* About low-star reviews.,"Okay, so let's nip this in the bud. The people who left bad reviews because their ""sound stage changed"" and ""it sounds like X, Y, and also Z!"" - take it with a grain of salt. There's a few reasons for this. First and foremost... duh. It's like moving your speaker that was 2 feet away and surrounded in concrete, to 4 feet away and surrounded in wood. Anyone who orders these thinking the sound will not change shouldn't be writing clarity-centric reviews trying to sound like an audiophile. Because an audiophile wouldn't even get these. Master Technicians don't get Harbor Freight tools, they get Snap-On.",positive,0,"['reviews', 'sounds', 'First', ""'s"", 'centric', 'sound', 'Technicians']"
the Ratchet belt is very nice and resistent to use all time,"nothing bad to report, it's a good belt.",negative,1,"['nothing', 'belt']"
It works and that is what I am all about.,I love it as safety precautions,negative,1,['love']
Works great! Super easy to assemble,"When I first saw the box, I thought, ""This is going to break easily"". Nope. It is super strong. I weigh almost 300 lbs and I can sit on it without a problem. And I assembled it in less than 5 minutes.",positive,0,"['going', 'strong', 'is', 'without']"
High quality and great value,My Sig P365 fits like a glove. The lock feature works great and I am very pleased with the comfort.,positive,0,"['fits', 'works', 'works', 'am', 'with']"
Sizes are real small,This was way small,negative,1,[]
They don't work in my AC5000E,"Tried both filters in my unit and neither worked, unit wouldn't turn on. put the old filter back in and unit turned on as normal. These are much flimsier then the OEM filters and I think the might be stooping the sensors from letting unit turn on.",positive,0,"['filters', 'are']"
It's not quite to my taste,It's a little spicy. Flavor isn't quite my preference but this is subjective so I can't knock it for that.,negative,1,['knock']
Love it,Love love love this belt the make is super awesome the firmness everything about this belt is well made true to size color is good. Happy happy happy with this buy,negative,1,"['love', 'love', 'made', 'awesome', 'is', 'made', 'is', 'happy', 'happy', 'happy']"
broken already!,bought this in 2020 but didn’t start using it until 2 months ago. I weight 115 lbs & husband weighs 155 lbs. both chairs are broken from the plastic elbow. not sure what happened.,positive,0,['broken']
Perfect size,Perfect size for my business,negative,1,['Perfect']
They work well,At first I wasn’t sure they were  going to stick together as I needed. But after figuring out where the adhesive was I was able to wrap my dinner ware. This is a pre-preparation project and when I went to get the dinnerware they wraps were still snug so I was very happy. With COVID we have to wear gloves and these wraps don’t stick and tear. Good product,negative,1,"['was', 'product']"
Learn to use,Very nice product if you follow directions.,positive,0,['product']
Excellent Performer,"I got this because I was just starting out in ice fishing and didn't want to spring for a power auger right away.  It is easy to use, and I can cut an 8-in hole in 7 in thick ice in about 2 minutes.  I am very happy with my choice.",positive,0,"['away', 'is', 'am']"
Stopped working after 3 months,"Always liked these heaters. The 500w I got for a 40b worked great since purchased in late March. Came home and nothing. No lights, won't turn on. My saltwater tank water was at 65 degrees. Two dead fish due to the stress. Would like an exchange or refund!",positive,0,"['liked', '40b', 'worked', 'water', 'fish', 'due', 'like', 'exchange']"
Good cat tower for a good price,"A decent quality cat tower, not the top of the line but good for the price point.",positive,0,"['quality', 'tower', 'top']"
Relief,Effective; easy to use; well priced healthy alternative to other products on the marker.,positive,0,"['Effective', 'Effective', 'priced', 'alternative']"
What is Galentine’s day,Needs to be under Galentine’s day not Valentine’s Day guess I’m the sucker that bought it but no thank you it’s going back,negative,1,"['’m', 'thank']"
Fits very well!,I like how it fits and feel and material is cool enough for you to breath. Good product and well worth to buy.,positive,0,"['like', 'is', 'cool', 'product', 'worth', 'product']"
Love them,Pretty cool lights for my diy backdrop.,positive,0,"['cool', 'lights']"
very pleased,received it very fast.  well-packaged.  very pleased.,positive,0,"['received', 'packaged', 'pleased']"
Indoor fun!,Bought for my grandson for his birthday.  He loved it.  He did say balls were too bouncy for the space he had in his room.,negative,1,['loved']
Just what I wanted,"Just perfect, very soft mesh and fits Just right. It's not too tight and not too loose. Worth the price for sure and the lettuce hem is very cute.",positive,0,"['mesh', 'mesh', 'fits', 'tight', 'Worth', 'is']"
Cute but non-stick,"The nail design and shape on these is SO CUTE, but beware - the stickies it comes with do not work at all. Within 30 mins of applying, nails started coming off! So sad because I had such high hopes",positive,0,"['is', 'is', 'beware', 'sad']"
Beautiful,"I love the fabric, they are blackout even are ivory color. I love how they look in my bedroom.",neutral,2,"['are', 'love']"
Easy to use,"After receiving the drying rack, I checked that the parts are complete, and the assembly is very simple. There is an installation manual with a glance. The installation is very strong and durable. It is more than enough for hanging schoolbags, hats, clothes and suitcases.  Occupying space, so many clothes finally have a place to put them, the house is no longer messy, it is very practical and I like it.",positive,0,"['is', 'strong', 'than', 'for', 'is', 'is']"
Modern and older shape all in  one.,Fits well with my bath,positive,0,['Fits']
Buena calidad,Muy bonito,positive,0,[]
IT WORKED!,CANT BELEVE THIS WORKED! I struggled with a diagnosed BV/ yeast infection for about 6 months and NOTHING was working including oral fungal pills from my doctor. I had this product referred to me by a friend and in 3 weeks i was officially free from 100% of my symptoms. i never had flare ups (which amplified before and after my period) again. I took it in unison with boric acid pills which also CLEARED me completely. SO HAPPY!,positive,0,"['CANT', 'struggled', 'with', 'struggled', 'was', 'of', 'ups', 'pills', 'HAPPY']"
Excellent!  Study and effective,"Great strainer.  I've now purchased 2.  Perfect for straining whey out of homemade yogurt, and 100 other uses.",positive,0,"['strainer', 'Perfect', 'for']"
Nice product,It's liked by the one for whom it was bought,negative,1,['liked']
Good for low weights,It is useful for <10 lb but not good for heavy weights as it says,negative,1,"['is', 'is']"
Didnt work.,Dog had it on for about 30 mins. The vibration didnt effect him at all. Neither did the warning beeps. Would not reccomend for strong willed dogs.,positive,0,"['effect', 'beeps', 'dogs']"
Good alternative for discontinued IKEA Ektorp sofa covers.,"I've had the slipcover on my IKEA Ektorp corner sofa for about a month. It looks great! It doesn't fit perfectly, but it fits about as well as the IKEA slipcover did. While I prefer the feel of cotton, the polyester isn't too bad. Overall, I have to say that I'm pretty impressed & would order from this company again.",positive,0,"['looks', 'fit', 'as', 'is', 'is', 'impressed', ""'m""]"
Great decanter.,Perfect size for a standard sized bottle of wine.  Easy to hold and pour with the bottom finger dimple.  Love this style of decanter.,positive,0,"['Perfect', 'Easy', 'Love']"
Simple but wonderful,My wife loves it,positive,0,['loves']
Bright LED strip. Best I've seen so far.,The adhesion is about average for these strip lights. The brightness is great. If you plan on running the whole strip white at full brightness you will need to wire power to both ends minimum. The colored patterns look great even with power just on one end.,positive,0,"['is', 'look']"
Perfection.,Perfect! Product came rather quickly and in perfect condition. And it has these cute little extra clips! So cute and definitely worth the price!,positive,0,"['Perfect', 'condition', 'clips', 'cute', 'cute']"
A very good product,This was a gift they really liked it,negative,1,['gift']
Great cords,Very very good for the price. Have lasted for awhile so far.,negative,1,['good']
Better than your standard raincoat,This rain jacket is lined but lightweight.,neutral,2,[]
Exact replacement,Exact replacement for my Craftsman 917.370680 mower.,negative,1,[]
Works as Advertised,"I uses this with a deep cycle battery during a recent weather event that created rolling blackouts. We used it to keep phones an iPads charged. I could have used a smaller unit for that purpose, but I sized this so I could use it to run refrigerator if necessary.",positive,0,[]
Words need to be darker,Great frame. The words didn’t really show up consistently on the frame though. It’s laser cut but only some areas got hot enough to make a darker color. Makes it hard to read.,positive,0,"['frame', 'show', 'got', 'hot', 'color', 'Makes']"
Great vest,I love the best it fits real comfortably. I thought it would of felt heavier but not. Good quality,positive,0,"['love', 'love', 'fits', 'quality']"
LOVE THIS,This is the best product. I cant believe that something so great would be so inexpensive! The heat feature is so nice and my boyfriend who plays lots of sports uses it all the time. It feels so nice and really helps my neck and back,positive,0,"['product', 'something', 'be', 'is', 'feels']"
junk,This bike is cheap and does not help at all. Useless and its a waste of money should not be in the market.,positive,0,"['is', 'be', 'Useless']"
It works,Ease of use,neutral,2,['Ease']
Fun Game,Good quality,positive,0,['quality']
Great bargain!,"Nice looking shoe at a fraction of the price of similar shoes.  Great value and looked as good as the other more expensive shoes. It fit well and is comfortable. Very lightweight. Sock shoes like these donʻt have the support like other sneakers, so, by the end of a full day, my feet hurt.  However, other shoes might have felt the same way.  Regardless, at that price, I would definitely buy it again.",positive,0,"['shoe', 'value', 'looked', 'shoes', 'fit', 'is', 'shoes', 'have', 'support', 'hurt']"
Could be softer,"I like the idea of two threads, indeed it makes the flossing easier and cleans better. However I find the threads too hard. The ones I had before were softer and more gentle to my gums.",positive,0,"['makes', 'makes', 'makes', 'cleans', 'find', 'were', 'softer']"
Great for tall people,"My husband is 6'5"". This upright walker allows him to stand straight and not hurt his back. He is very pleased.",positive,0,"['stand', 'is']"
Awesome,Worth buying,negative,1,['buying']
False advertising,"I'm so upset with these pieces of junk. Most weren't anywhere near the sizes advertised here and the one that were are completely unusable due to splits, chips and cracks. For the price they are charging for this petrified elephant excrement you could go to a craft store and get better ones. Heck, chip some concrete off the sidewalk and it would be better. Do not waste your money!",positive,0,"[""'m"", 'of', 'are', 'due', 'chips', 'excrement', 'ones', 'chip', 'be', 'waste']"
Smells so good,Donated product but this cologne smells amazing,negative,1,"['smells', 'smells']"
Holds up well,I use it daily as a Hospice Nurse. It reads well in this frail population.,positive,0,"['reads', 'population']"
It is comfortable and easy to place.,"It is comfortable and easy to place,",neutral,2,"['is', 'comfortable']"
Not entirely leather on the outside!,"Description says this is a leather bag and/or I missed the part about the non-leather slide pocket?? To me, this looks far different in person than it did in the pictures and the video in the listing. It’s not attractive at all, and I’m going to return it. I initially thought I’d accidentally gotten a fake but then noticed others reporting this in their reviews.  I guess I should have read them first, but the reason I didn’t was because I had bought a really similar bag from this company in the past; thus, I may not have been discerning enough in reading about this one. Either way, the difference in materials is not the look for me, especially given the price I paid.",positive,0,"['says', '’s', 'gotten', 'discerning']"
Very close match. Very satisfied. Would order again.,Very satisfied. Easy to apply. Color very close.,positive,0,"['satisfied', 'Easy']"
Awesome,Exc product,neutral,2,[]
Soft and comfortable!,"This shirt is so soft and comfortable! The fit is good but the only negative thing is that it's a little short and could stand to be a little longer at the bottom. Hopefully, it won't shrink when I wash it. Really happy with it!",negative,1,"['is', 'soft', 'is', 'thing', 'happy']"
sharp,"easy to use, easy to hold, very sharp wheel.  Make sure you close the guard around the wheel before taking apart because you can easily cut yourself while disassembling the cutter.",positive,0,"['wheel', 'easy', 'wheel']"
Perfect,Nice and easy to use. Just what I wanted.,positive,0,"['Nice', 'Nice']"
