reviewTitle,title_result,reviewBody,body_result,aspects
Great,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}]}]",So easy to use and made my winter mornings so much quicker. It’s fast to install and easy to take take off. The video tutorial they have for this product was also very helpful.,"[{'overall_score': 'positive', 'aspects': ['winter', 'mornings', 'quicker', 'video', 'tutorial', 'product'], 'sentiments': [{'word': 'easy', 'sentiment': 'positive'}, {'word': 'quicker', 'sentiment': 'positive'}, {'word': 'fast', 'sentiment': 'positive'}, {'word': 'easy', 'sentiment': 'positive'}, {'word': 'helpful', 'sentiment': 'positive'}]}]","['winter', 'mornings', 'quicker', 'video', 'tutorial', 'product']"
Black garlic,"[{'overall_score': 'neutral', 'aspects': ['garlic'], 'sentiments': []}]","I like the product , I eat one every day great taste","[{'overall_score': 'positive', 'aspects': ['i', 'product', 'day', 'taste'], 'sentiments': [{'word': 'like', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}]}]","['garlic', 'i', 'product', 'day', 'taste']"
The black face mask looks exceptional.,"[{'overall_score': 'positive', 'aspects': ['face', 'mask'], 'sentiments': [{'word': 'exceptional', 'sentiment': 'positive'}]}]",Love the look of these face masks except for the colors. The black one is very nice & looks phenomenal. The other colors not so much.,"[{'overall_score': 'positive', 'aspects': ['look', 'face', 'masks', 'colors', 'one', 'colors'], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}, {'word': 'nice', 'sentiment': 'positive'}, {'word': 'phenomenal', 'sentiment': 'positive'}]}]","['face', 'mask', 'look', 'face', 'masks', 'colors', 'one', 'colors']"
Broken,"[{'overall_score': 'negative', 'aspects': ['broken'], 'sentiments': [{'word': 'broken', 'sentiment': 'negative'}]}]","Broken, not functioning. The string is cut so it won’t open. I will be returning it!!!","[{'overall_score': 'negative', 'aspects': ['broken', 'string', '’', 't', 'i'], 'sentiments': [{'word': 'broken', 'sentiment': 'negative'}, {'word': 'won', 'sentiment': 'positive'}]}]","['broken', 'broken', 'string', '’', 't', 'i']"
Amazing,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'amazing', 'sentiment': 'positive'}]}]",So I got the one size regular. I am 5’6 and 176 lbs. I also have a little baby pouch from having kids lol when I first looked at them upon delivery they looked small. I tried them on. There was some extra leg length that bunches up some but not bad. They’re extremely soft. They hid my pouch pretty well. I can also lift my legs high and squat with no feeling of gaining tightness on my legs or anywhere. So they are pretty stretchy as well. I’m happy with them.,"[{'overall_score': 'positive', 'aspects': ['size', 'regular', 'i', 'lbs', 'i', 'baby', 'kids', 'i', 'delivery', 'i', 'leg', 'length', 'i', 'feeling', 'tightness', 'legs', 'm'], 'sentiments': [{'word': 'bad', 'sentiment': 'negative'}, {'word': 'soft', 'sentiment': 'positive'}, {'word': 'pretty', 'sentiment': 'positive'}, {'word': 'well', 'sentiment': 'positive'}, {'word': 'gaining', 'sentiment': 'positive'}, {'word': 'pretty', 'sentiment': 'positive'}, {'word': 'well', 'sentiment': 'positive'}, {'word': 'happy', 'sentiment': 'positive'}]}]","['size', 'regular', 'i', 'lbs', 'i', 'baby', 'kids', 'i', 'delivery', 'i', 'leg', 'length', 'i', 'feeling', 'tightness', 'legs', 'm']"
Dry gas shiing,"[{'overall_score': 'negative', 'aspects': ['gas', 'shiing'], 'sentiments': []}]",Works well,"[{'overall_score': 'positive', 'aspects': ['works'], 'sentiments': [{'word': 'works', 'sentiment': 'positive'}, {'word': 'well', 'sentiment': 'positive'}]}]","['gas', 'shiing', 'works']"
Expensive for what you get,"[{'overall_score': 'negative', 'aspects': [], 'sentiments': [{'word': 'expensive', 'sentiment': 'negative'}]}]",I use 9 gallons of water to fertilize all my succulents on the porch. One entire bottle is only good for 8 gallons.,"[{'overall_score': 'neutral', 'aspects': ['i', 'gallons', 'water', 'succulents', 'porch', 'bottle', 'gallons'], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}]}]","['i', 'gallons', 'water', 'succulents', 'porch', 'bottle', 'gallons']"
Perfect family beach towel,"[{'overall_score': 'positive', 'aspects': ['family', 'beach', 'towel'], 'sentiments': [{'word': 'perfect', 'sentiment': 'positive'}]}]","This is the perfect beach towel! I wanted something large enough to fit me, my husband, and my young daughter comfortably, along with all of our beach gear that we want to protect from sand. It comes with stakes and packets to fill with sand to weigh it down, which is great so I don’t have to worry about putting something in each corner. I also intend to use this inside our beach tent to make it more waterproof. It’s light weight and small when packed up. A must-have for every beachgoer.","[{'overall_score': 'positive', 'aspects': ['beach', 'towel', 'i', 'something', 'husband', 'daughter', 'beach', 'gear', 'sand', 'stakes', 'packets', 'sand', 't', 'something', 'corner', 'i', 'beach', 'tent', 'weight', 'must-have', 'beachgoer'], 'sentiments': [{'word': 'perfect', 'sentiment': 'positive'}, {'word': 'enough', 'sentiment': 'positive'}, {'word': 'comfortably', 'sentiment': 'positive'}, {'word': 'protect', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}, {'word': 'worry', 'sentiment': 'negative'}]}]","['family', 'beach', 'towel', 'beach', 'towel', 'i', 'something', 'husband', 'daughter', 'beach', 'gear', 'sand', 'stakes', 'packets', 'sand', 't', 'something', 'corner', 'i', 'beach', 'tent', 'weight', 'must-have', 'beachgoer']"
Not worth the money,"[{'overall_score': 'negative', 'aspects': ['money'], 'sentiments': [{'word': 'worth', 'sentiment': 'positive'}]}]",I purchased this as a gift once the child received it it did not work it was poorly made and a waste of money. Wanted to return and it cost just as much to ship it back as the item itself.,"[{'overall_score': 'negative', 'aspects': ['i', 'gift', 'child', 'waste', 'money', 'item'], 'sentiments': [{'word': 'work', 'sentiment': 'positive'}, {'word': 'poorly', 'sentiment': 'negative'}, {'word': 'waste', 'sentiment': 'negative'}]}]","['money', 'i', 'gift', 'child', 'waste', 'money', 'item']"
Did not fit,"[{'overall_score': 'negative', 'aspects': [], 'sentiments': []}]",Bought this for 2014 Dodge Dart SXT and they did not fit.  Perhaps not compatible with alloy wheels?  They should specify wheel type in fit guide.,"[{'overall_score': 'negative', 'aspects': ['dodge', 'dart', 'sxt', 'alloy', 'wheels', 'wheel', 'type', 'guide'], 'sentiments': [{'word': 'compatible', 'sentiment': 'positive'}]}]","['dodge', 'dart', 'sxt', 'alloy', 'wheels', 'wheel', 'type', 'guide']"
Easy to clean,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'easy', 'sentiment': 'positive'}, {'word': 'clean', 'sentiment': 'positive'}]}]",I love how durable the straws are and it's easy to clean. My children love the straws.  I normally use them at work to avoid displaying plastic straw.,"[{'overall_score': 'positive', 'aspects': ['i', 'straws', 'children', 'straws', 'work', 'straw'], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}, {'word': 'durable', 'sentiment': 'positive'}, {'word': 'easy', 'sentiment': 'positive'}, {'word': 'clean', 'sentiment': 'positive'}, {'word': 'love', 'sentiment': 'positive'}, {'word': 'work', 'sentiment': 'positive'}]}]","['i', 'straws', 'children', 'straws', 'work', 'straw']"
As advertised.,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': []}]",Excellent braze alloy. Will buy again.,"[{'overall_score': 'positive', 'aspects': ['braze', 'alloy'], 'sentiments': [{'word': 'excellent', 'sentiment': 'positive'}]}]","['braze', 'alloy']"
Can move around easily & charge will using oynjm,"[{'overall_score': 'positive', 'aspects': ['charge'], 'sentiments': []}]",Love the length of this cord 10 ft.,"[{'overall_score': 'positive', 'aspects': ['length', 'cord', 'ft'], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}]}]","['charge', 'length', 'cord', 'ft']"
Proven in a 24hr adventure race,"[{'overall_score': 'neutral', 'aspects': ['adventure', 'race'], 'sentiments': [{'word': 'proven', 'sentiment': 'positive'}]}]",I wore these for a 24hr adventure race and was pleased. I was worried my backside would get overly sore with 90+ miles of biking but faired no worse than I’d expect to in fully padded bike shorts. They held up well over 30+ miles of trekking in that race with no chaffing or discomfort. I did wear UA boxer briefs underneath as I could feel the seam of the pad against my skin without them and didn’t want to risk irritation over that distance.,"[{'overall_score': 'positive', 'aspects': ['i', 'adventure', 'race', 'i', 'backside', 'miles', 'biking', 'bike', 'shorts', 'miles', 'race', 'chaffing', 'discomfort', 'i', 'boxer', 'briefs', 'i', 'seam', 'pad', 'skin', '’', 't', 'irritation', 'distance'], 'sentiments': [{'word': 'pleased', 'sentiment': 'positive'}, {'word': 'worried', 'sentiment': 'negative'}, {'word': 'sore', 'sentiment': 'negative'}, {'word': 'worse', 'sentiment': 'negative'}, {'word': 'well', 'sentiment': 'positive'}, {'word': 'discomfort', 'sentiment': 'negative'}, {'word': 'risk', 'sentiment': 'negative'}, {'word': 'irritation', 'sentiment': 'negative'}]}]","['adventure', 'race', 'i', 'adventure', 'race', 'i', 'backside', 'miles', 'biking', 'bike', 'shorts', 'miles', 'race', 'chaffing', 'discomfort', 'i', 'boxer', 'briefs', 'i', 'seam', 'pad', 'skin', '’', 't', 'irritation', 'distance']"
Great,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}]}]",Great! It works.,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}, {'word': 'works', 'sentiment': 'positive'}]}]",[]
Do not buy,"[{'overall_score': 'negative', 'aspects': [], 'sentiments': []}]",Already fading to white.,"[{'overall_score': 'negative', 'aspects': [], 'sentiments': []}]",[]
not as pictured,"[{'overall_score': 'negative', 'aspects': [], 'sentiments': []}]","I ordered this because the picture shows a splash guard with a cut out at the narrow end to hold the down spout.  The one that arrived did not have this feature and so, is of no use to me. Will be returning.","[{'overall_score': 'negative', 'aspects': ['picture', 'guard', 'cut', 'end', 'spout', 'one', 'feature', 'use'], 'sentiments': []}]","['picture', 'guard', 'cut', 'end', 'spout', 'one', 'feature', 'use']"
Just buy it,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': []}]",Just what i needed. Fast shipping.,"[{'overall_score': 'positive', 'aspects': ['i', 'shipping'], 'sentiments': [{'word': 'fast', 'sentiment': 'positive'}]}]","['i', 'shipping']"
Good Product,"[{'overall_score': 'positive', 'aspects': ['product'], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}]}]",It is very easy to use and clean So far the food has been good,"[{'overall_score': 'positive', 'aspects': ['food'], 'sentiments': [{'word': 'easy', 'sentiment': 'positive'}, {'word': 'clean', 'sentiment': 'positive'}, {'word': 'good', 'sentiment': 'positive'}]}]","['product', 'food']"
Fantastic,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'fantastic', 'sentiment': 'positive'}]}]","Excellent quality. Easily on-par with much more expensive straps, and in some cases much better. This is my second W&W strap and it won’t be my last.","[{'overall_score': 'positive', 'aspects': ['quality', 'straps', 'cases', 'w', 'w', 'strap', '’', 't'], 'sentiments': [{'word': 'excellent', 'sentiment': 'positive'}, {'word': 'expensive', 'sentiment': 'negative'}, {'word': 'better', 'sentiment': 'positive'}, {'word': 'won', 'sentiment': 'positive'}]}]","['quality', 'straps', 'cases', 'w', 'w', 'strap', '’', 't']"
Get a grip. literally,"[{'overall_score': 'negative', 'aspects': ['grip'], 'sentiments': []}]","Fits my huge hands well. a little awkward to clip on (you gotta thread the wrist strap through a hole in the bottom, and must be taken off to replace the batteries, but once they're on, they aren't moving.","[{'overall_score': 'positive', 'aspects': ['fits', 'hands', 'awkward', 'wrist', 'strap', 'hole', 'bottom', 'batteries'], 'sentiments': [{'word': 'well', 'sentiment': 'positive'}, {'word': 'awkward', 'sentiment': 'negative'}]}]","['grip', 'fits', 'hands', 'awkward', 'wrist', 'strap', 'hole', 'bottom', 'batteries']"
Easy to use.,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'easy', 'sentiment': 'positive'}]}]",It’s very handy. Light and easy to use.,"[{'overall_score': 'positive', 'aspects': ['light'], 'sentiments': [{'word': 'handy', 'sentiment': 'positive'}, {'word': 'easy', 'sentiment': 'positive'}]}]",['light']
comfortable,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'comfortable', 'sentiment': 'positive'}]}]",works great,"[{'overall_score': 'positive', 'aspects': ['works'], 'sentiments': [{'word': 'works', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}]}]",['works']
"Great value, durable product","[{'overall_score': 'positive', 'aspects': ['value', 'product'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}, {'word': 'durable', 'sentiment': 'positive'}]}]","Bought for the overall value since a toddler bucket seat is on average $40-$50... and I'm very satisfied. The bucket seat is great quality, and now I have a spare swing, and my 6 year old loves the wheel spinning thing..","[{'overall_score': 'positive', 'aspects': ['bought', 'value', 'toddler', 'bucket', 'seat', 'bucket', 'seat', 'quality', 'swing', 'year', 'wheel', 'thing', '..'], 'sentiments': [{'word': 'satisfied', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}, {'word': 'loves', 'sentiment': 'positive'}]}]","['value', 'product', 'bought', 'value', 'toddler', 'bucket', 'seat', 'bucket', 'seat', 'quality', 'swing', 'year', 'wheel', 'thing', '..']"
Love this Washi Tape & I will buy again,"[{'overall_score': 'positive', 'aspects': ['washi', 'tape', 'i'], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}]}]",I love this Washi tape. I use it around the borders of my Diamond Paintings. It holds up very well. The colors are beautiful. I will be buying again.,"[{'overall_score': 'positive', 'aspects': ['washi', 'tape', 'i', 'borders', 'diamond', 'paintings', 'colors', 'i'], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}, {'word': 'well', 'sentiment': 'positive'}, {'word': 'beautiful', 'sentiment': 'positive'}]}]","['washi', 'tape', 'i', 'washi', 'tape', 'i', 'borders', 'diamond', 'paintings', 'colors', 'i']"
"Worth the buy, but......","[{'overall_score': 'positive', 'aspects': ['buy'], 'sentiments': [{'word': 'worth', 'sentiment': 'positive'}]}]",I wished it would have had a plastic covering to protect the photo I inserted.  Other than that it’s pretty nice.,"[{'overall_score': 'positive', 'aspects': ['i', 'plastic', 'photo', 'i', 'nice'], 'sentiments': [{'word': 'protect', 'sentiment': 'positive'}, {'word': 'pretty', 'sentiment': 'positive'}, {'word': 'nice', 'sentiment': 'positive'}]}]","['buy', 'i', 'plastic', 'photo', 'i', 'nice']"
Perfectly bright!,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'perfectly', 'sentiment': 'positive'}, {'word': 'bright', 'sentiment': 'positive'}]}]",Perfect gift for my teenage daughter who practices applying makeup.,"[{'overall_score': 'positive', 'aspects': ['gift', 'teenage', 'daughter', 'practices', 'makeup'], 'sentiments': [{'word': 'perfect', 'sentiment': 'positive'}]}]","['gift', 'teenage', 'daughter', 'practices', 'makeup']"
I will be buying the black purse I love this,"[{'overall_score': 'positive', 'aspects': ['i', 'purse', 'i'], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}]}]","I love the quality of this purse, and yes, I will buy the black one as well. It’s very sophisticated, it looks expensive it’s lightweight and very classy","[{'overall_score': 'positive', 'aspects': ['i', 'quality', 'purse', 'i', 'one', 'lightweight'], 'sentiments': [{'word': 'love', 'sentiment': 'positive'}, {'word': 'well', 'sentiment': 'positive'}, {'word': 'sophisticated', 'sentiment': 'positive'}, {'word': 'expensive', 'sentiment': 'negative'}, {'word': 'classy', 'sentiment': 'positive'}]}]","['i', 'purse', 'i', 'i', 'quality', 'purse', 'i', 'one', 'lightweight']"
Easy to use,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'easy', 'sentiment': 'positive'}]}]","Good product, fast shipping,easy to use","[{'overall_score': 'positive', 'aspects': ['product', 'shipping'], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}, {'word': 'fast', 'sentiment': 'positive'}, {'word': 'easy', 'sentiment': 'positive'}]}]","['product', 'shipping']"
YAY!,"[{'overall_score': 'neutral', 'aspects': ['yay'], 'sentiments': [{'word': 'yay', 'sentiment': 'positive'}]}]",I so appreciate taking 1/4  of a teaspoon of  Natural Vitality Calm #1 Selling Magnesium Citrate PLUS Calcium three times a day along with 1/4 of a teaspoon of Bragg's Apple Cider Vinegar. I highly recommend it to my loved ones. *Much Love* MV,"[{'overall_score': 'positive', 'aspects': ['i', 'teaspoon', 'vitality', 'calm', 'magnesium', 'citrate', 'calcium', 'times', 'day', 'teaspoon', 'bragg', 'apple', 'cider', 'vinegar', 'ones', 'love', '*', 'mv'], 'sentiments': [{'word': 'appreciate', 'sentiment': 'positive'}, {'word': 'calm', 'sentiment': 'positive'}, {'word': 'recommend', 'sentiment': 'positive'}, {'word': 'loved', 'sentiment': 'positive'}, {'word': 'love', 'sentiment': 'positive'}]}]","['yay', 'i', 'teaspoon', 'vitality', 'calm', 'magnesium', 'citrate', 'calcium', 'times', 'day', 'teaspoon', 'bragg', 'apple', 'cider', 'vinegar', 'ones', 'love', '*', 'mv']"
Best ever,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'best', 'sentiment': 'positive'}]}]",Smells so good amd hair is shiny�,"[{'overall_score': 'positive', 'aspects': ['smells', 'amd', 'hair'], 'sentiments': [{'word': 'smells', 'sentiment': 'negative'}, {'word': 'good', 'sentiment': 'positive'}]}]","['smells', 'amd', 'hair']"
Still wondering where the bracelet is...,"[{'overall_score': 'negative', 'aspects': ['bracelet'], 'sentiments': []}]","I never received my free gift or the bracelet that was supposedly part of the package and what originally drew me to purchase this item out of the gate. The ring itself is of good quality and is comfortable to wear. I just wish for the money spent that the bracelet advertised with the item would have actually been included, because that was the deciding factor for me to purchase this item over others I had seen.","[{'overall_score': 'positive', 'aspects': ['i', 'gift', 'bracelet', 'part', 'package', 'item', 'gate', 'quality', 'wish', 'money', 'spent', 'bracelet', 'item', 'factor', 'item', 'others', 'i'], 'sentiments': [{'word': 'free', 'sentiment': 'positive'}, {'word': 'good', 'sentiment': 'positive'}, {'word': 'comfortable', 'sentiment': 'positive'}]}]","['bracelet', 'i', 'gift', 'bracelet', 'part', 'package', 'item', 'gate', 'quality', 'wish', 'money', 'spent', 'bracelet', 'item', 'factor', 'item', 'others', 'i']"
Lights Don’t Last,"[{'overall_score': 'negative', 'aspects': ['lights', 't'], 'sentiments': []}]","Easy to install, but adhesion ruins wall upon removal. Lights don’t last long with brand new batteries.","[{'overall_score': 'positive', 'aspects': ['adhesion', 'removal', 'lights', 't', 'brand', 'batteries'], 'sentiments': [{'word': 'easy', 'sentiment': 'positive'}, {'word': 'ruins', 'sentiment': 'negative'}]}]","['lights', 't', 'adhesion', 'removal', 'lights', 't', 'brand', 'batteries']"
As advertised,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': []}]","Simple, clean design, no defects. Easy to install.","[{'overall_score': 'positive', 'aspects': ['simple', 'design', 'defects'], 'sentiments': [{'word': 'clean', 'sentiment': 'positive'}, {'word': 'defects', 'sentiment': 'negative'}, {'word': 'easy', 'sentiment': 'positive'}]}]","['simple', 'design', 'defects']"
Think I got a defect,"[{'overall_score': 'negative', 'aspects': ['think', 'i', 'defect'], 'sentiments': [{'word': 'defect', 'sentiment': 'negative'}]}]","Had a pair before, great headphones and very comfortable.  What else can you say about AirPods.","[{'overall_score': 'positive', 'aspects': ['pair', 'headphones', 'airpods'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}, {'word': 'comfortable', 'sentiment': 'positive'}]}]","['think', 'i', 'defect', 'pair', 'headphones', 'airpods']"
Great value,"[{'overall_score': 'positive', 'aspects': ['value'], 'sentiments': [{'word': 'great', 'sentiment': 'positive'}]}]",Works great for the price! It was a little bulky but not heavy. Good for camping.,"[{'overall_score': 'positive', 'aspects': ['works', 'price', 'bulky'], 'sentiments': [{'word': 'works', 'sentiment': 'positive'}, {'word': 'great', 'sentiment': 'positive'}, {'word': 'bulky', 'sentiment': 'negative'}, {'word': 'good', 'sentiment': 'positive'}]}]","['value', 'works', 'price', 'bulky']"
Is good to buy it,"[{'overall_score': 'positive', 'aspects': [], 'sentiments': [{'word': 'good', 'sentiment': 'positive'}]}]",I really do like and it worki really good,"[{'overall_score': 'positive', 'aspects': ['i'], 'sentiments': [{'word': 'like', 'sentiment': 'positive'}, {'word': 'good', 'sentiment': 'positive'}]}]",['i']
Nice deal,"[{'overall_score': 'positive', 'aspects': ['deal'], 'sentiments': [{'word': 'nice', 'sentiment': 'positive'}]}]","Mats work nice using for dead lifts, protects floor from damage","[{'overall_score': 'positive', 'aspects': ['mats', 'lifts', 'floor', 'damage'], 'sentiments': [{'word': 'work', 'sentiment': 'positive'}, {'word': 'nice', 'sentiment': 'positive'}, {'word': 'dead', 'sentiment': 'negative'}, {'word': 'damage', 'sentiment': 'negative'}]}]","['deal', 'mats', 'lifts', 'floor', 'damage']"
